init_date,forecast_hour,station_id,10u,10v,2r,2t,sp,wind_speed_10m,temp_2m_c
2014-03-08,18,Baltimore_Washington_MD,-2.7272368000000005,-5.012072399999999,100.0,250.37,101097.90000000001,5.706022284053576,-22.779999999999973
2014-03-08,18,Chicago_OHare_IL,-1.8354703999999993,-5.3386324,99.9,250.38,101110.70000000001,5.645347419920754,-22.769999999999982
2014-03-08,18,Cincinnati_OH,-2.1062080000000014,-5.246896,99.96552,250.37,101106.45168000001,5.653850880071033,-22.779999999999973
2014-03-08,18,Philadelphia_PA,-2.866393199999999,-4.9345356,100.0,250.37,101096.3,5.7066497671290115,-22.779999999999973
2014-03-08,21,Baltimore_Washington_MD,-2.6072368000000004,-5.141381599999999,100.0,249.79,101092.1,5.764675922208706,-23.359999999999985
2014-03-08,21,Chicago_OHare_IL,-1.7054703999999992,-5.4386324,100.0,249.76000000000002,101107.881184,5.699767685406654,-23.389999999999958
2014-03-08,21,Cincinnati_OH,-1.9762080000000015,-5.353448,99.9,249.76999999999998,101102.25168000002,5.706557942224718,-23.379999999999995
2014-03-08,21,Philadelphia_PA,-2.7518575999999983,-5.0690712000000016,100.0,249.79000000000002,101090.5,5.767859488696583,-23.359999999999957
2014-03-08,24,Baltimore_Washington_MD,-2.8172368000000003,-5.1913816,99.9,249.48000000000002,101062.11052799999,5.906544345392896,-23.66999999999996
2014-03-08,24,Chicago_OHare_IL,-1.866837999999999,-5.527264800000001,99.9,249.45000000000002,101074.581184,5.834015794250393,-23.69999999999996
2014-03-08,24,Cincinnati_OH,-2.1562080000000012,-5.433448,99.93448,249.46,101070.0,5.845647107717674,-23.68999999999997
2014-03-08,24,Philadelphia_PA,-2.9618575999999983,-5.109071200000001,99.9,249.48000000000002,101060.40000000001,5.90552359823811,-23.66999999999996
2014-03-08,27,Baltimore_Washington_MD,-3.0172368000000005,-4.8820724,100.0,249.15,101078.0,5.7391940920407984,-23.99999999999997
2014-03-08,27,Chicago_OHare_IL,-2.1454703999999993,-5.237264800000001,100.0,249.13,101090.8,5.659680717372244,-24.019999999999982
2014-03-08,27,Cincinnati_OH,-2.4062080000000012,-5.133448,100.0,249.14000000000001,101087.6,5.669402553000448,-24.009999999999962
